,goals,elo,elo_vs,location,goals_las5,goals_vs_las5,xG_las5,xG_vs_las5,shots_las5,shots_vs_las5,yellow_card_las5,yellow_card_vs_las5,red_card_las5,red_card_vs_las5,key_passes_las5,key_passes_vs_las5,xA_las5,xA_vs_las5,xGChain_las5,xGChain_vs_las5,xGBuildup_las5,xGBuildup_vs_las5,npxG_vs_las5,ppda_att_vs_las5,ppda_def_vs_las5,deep_vs_las5,xpts_vs_las5,pts_vs_las5,npxG_las5,ppda_att_las5,ppda_def_las5,deep_las5,elo_las5,elo_vs_las5
24,0.0,1258.4075368915444,1683.367129253387,1,1.0,1.4,0.9081924000000001,1.2344336,10.0,17.2,3.0,2.2,0.2,0.0,6.8,10.6,0.6687931921333075,0.8487245115451515,1.4669609565287829,3.654390738904476,0.5427085272967815,2.2944791009649634,1.2344336000000002,190.4,23.2,5.4,1.64746,2.0,0.9081924000000001,252.2,23.0,5.2,1232.4807504337534,1580.5575823827426
25,0.0,1253.6248060233522,1477.9747805555369,1,0.8,1.4,0.9202418,1.2863416,11.0,16.6,2.6,1.8,0.2,0.0,7.6,10.0,0.6631240203976632,0.922806236706674,1.6774528328329326,3.532770835608244,0.8640246249735355,2.011131784878671,1.2863416000000003,201.0,20.4,5.0,1.68204,2.0,0.9202418,251.6,22.2,7.0,1242.5646286623082,1547.5912751386431
26,1.0,1240.688481439647,1467.4611911375625,0,0.6,1.6,0.602079,1.2901124000000002,10.2,17.4,2.6,1.2,0.2,0.0,7.2,10.6,0.47330425307154655,0.9467423036694527,1.4670898281037807,3.5569592900574207,0.8150031343102455,2.0380447058007123,1.2901124000000004,194.6,21.4,5.6,1.9547400000000004,2.2,0.602079,264.6,22.4,6.4,1250.6511966022167,1531.9237110345916
27,0.0,1252.1582351612806,1632.2627273993617,1,0.6,1.8,0.5854624,1.4668724,10.4,20.2,2.0,1.4,0.4,0.0,7.8,12.8,0.47321832831948996,0.972067778557539,1.2904895406216383,3.7153935860842466,0.6763943664729595,2.1323877627030017,1.3160164,184.0,21.8,8.2,2.09324,2.2,0.5854624,277.6,21.8,6.0,1250.4759310463144,1544.2209668093467
28,2.0,1246.1085502600852,1566.2471692390498,1,0.6,1.6,0.8366404,1.4209764,11.0,19.8,2.6,1.8,0.2,0.0,8.0,13.4,0.45172650571912526,1.005978639703244,2.194538291543722,3.825632943958044,1.4895961351692677,2.0916172984987496,1.2701204000000001,175.4,20.6,10.2,1.87278,2.0,0.6857863999999999,282.8,20.4,6.4,1250.1975219551819,1565.4625995169795
29,0.0,1280.6400428682562,1376.8592796837574,0,0.6,1.6,0.8030052000000001,1.5344424,10.6,19.6,3.2,2.6,0.2,0.0,8.4,14.0,0.4652645754627883,1.020384301338345,2.1590299136936664,3.7527782060205936,1.4504448772408067,2.0429781313985584,1.2327324000000002,173.2,21.4,10.0,1.9931600000000003,2.0,0.6521511999999999,267.4,19.6,5.4,1254.6440231505244,1504.1610296030535
30,1.0,1258.7421956268709,1396.943016963845,0,0.8,1.6,0.8719431999999999,1.7860084,11.4,20.4,3.2,3.4,0.2,0.0,8.4,15.2,0.4808381519280374,1.2311824188567697,2.1409861225634814,4.547482200711966,1.3718152564950288,2.443349392339587,1.4842984000000001,168.0,23.8,12.0,2.09636,2.0,0.7210892,257.4,21.0,4.6,1255.667501071228,1487.9546768847154
31,1.0,1246.3030486023047,1427.2013789272526,1,0.8,1.8,1.130686,1.933514,14.0,17.4,2.6,4.0,0.2,0.0,10.2,13.4,0.5621554187498987,1.2875992423854767,2.5253710076212883,4.71475782841444,1.592941163200885,2.46362417191267,1.631804,186.8,25.2,10.8,1.9912599999999998,2.4,0.828978,242.8,19.6,5.8,1256.7904145037596,1479.9027144426532
32,3.0,1235.867345245188,1448.1644841025834,1,1.4,1.4,1.27143,1.6138701999999998,13.6,15.2,2.8,4.2,0.2,0.0,9.2,11.2,0.6854519207961858,1.1090775578282774,3.461169124767184,4.142506831139326,2.2811119948513805,2.1205364601686596,1.4630162000000002,194.0,24.0,8.6,1.59604,1.8,0.969722,233.8,18.6,5.4,1253.532236520541,1443.0830657832978
33,2.0,1289.9374090893948,1314.770935879492,0,1.4,1.4,1.13463,1.5084522,13.6,15.4,2.6,4.2,0.2,0.0,9.4,11.2,0.715259635169059,1.0414897538721561,3.3168135922402144,3.5712911676615477,2.0214151105843485,1.7063449589535593,1.3575982000000004,197.6,24.6,9.0,1.6092400000000002,1.8,0.983776,240.0,18.8,5.4,1262.2980082864028,1392.7878191113862
34,2.0,1311.3645123178494,1587.9201737762,0,1.8,1.2,1.2292938,1.3520588,14.0,15.8,2.0,3.6,0.2,0.0,10.0,11.2,0.8161750936880707,1.0222765766084194,3.9330371484160422,3.5869964329525827,2.5008097672834992,1.7434438947588204,1.3520588000000004,200.0,23.6,10.0,1.392,1.2,1.0784398,234.8,18.2,5.8,1268.4429021763217,1434.9999979298748
35,2.0,1344.600305288664,1632.7601622249886,1,2.0,1.4,1.1183608,0.9810740000000001,13.2,14.6,1.8,2.8,0.2,0.0,9.4,9.6,0.7513635674491524,0.6782845705747604,3.6812961149960755,2.4484387462958694,2.297046666033566,1.343074783310294,0.9810740000000002,189.6,22.8,9.0,1.2228999999999999,1.2,0.9675068,254.0,16.8,5.4,1285.6145241086801,1482.1634269821031
36,0.0,1338.2032798118753,1685.8758629860813,0,1.8,1.0,0.9731060000000001,0.923362,10.8,16.0,2.0,2.4,0.2,0.0,7.8,11.0,0.782300478592515,0.7144710123538971,3.7842105558142065,2.5844919299706817,2.3299039218574764,1.3461894974112512,0.9233620000000002,168.4,20.8,10.0,1.30006,0.8,0.9731059999999999,273.8,16.6,4.4,1303.9945703505941,1533.898323793869
37,3.0,1353.4408895312574,1475.636549153278,1,1.8,1.0,0.9280246,1.061882,11.0,17.2,1.8,2.2,0.0,0.2,8.6,11.8,0.7520020883530378,0.8465413931757212,3.4176606765016913,3.305697358213365,2.036589872837067,1.9131047088652848,1.0618820000000002,174.4,20.6,11.2,1.4636799999999999,0.8,0.9280246,267.0,17.2,5.6,1327.509279207808,1539.392736804008
38,0.0,1400.266999860141,1389.2956449684884,1,1.4,0.8,0.7420471999999999,0.9317674,12.0,15.4,1.8,2.0,0.0,0.2,9.0,10.0,0.6523878499865532,0.6865713953971863,2.580694797448814,2.776728952489793,1.4702189890667796,1.7177821211516857,0.9317674000000002,160.6,20.4,10.2,1.49764,1.0,0.7420471999999999,271.8,19.2,5.6,1349.5751973619574,1554.2976786218073
39,0.0,1399.6356477470508,1467.8800318427259,0,1.0,0.8,0.7331074,0.9867208,11.4,13.8,1.8,1.8,0.0,0.2,8.0,8.0,0.5522049030289053,0.7288984443992377,2.0041240172460677,3.276740952953696,0.9405131379142404,2.203536038659513,0.9867208000000002,158.4,18.6,9.6,1.56494,1.6,0.7331074,279.0,18.2,6.8,1367.2294244477976,1530.2896502351123
40,3.0,1383.51435529752,1390.1980154983871,1,1.2,0.2,0.9352123999999999,1.1148016,11.6,15.2,2.0,2.4,0.0,0.2,8.8,9.4,0.7001186436042189,0.8756024533882737,2.4818161161616445,3.0416596069931985,1.1835098249837757,1.9521924844011664,1.1148016000000003,141.8,16.2,8.8,1.51302,1.0,0.9352123999999999,275.2,19.2,6.6,1375.012234449569,1481.7772208897923
41,1.0,1419.187571469684,1453.8662114463582,0,1.4,0.6,0.899705,1.2860196,11.8,15.2,2.6,2.4,0.2,0.2,9.2,9.0,0.6681411460041999,0.8858583321794867,2.233317108079791,3.210675312578678,1.0454925533384085,2.2279837118461727,1.1351636,165.6,18.0,8.2,1.64908,1.4,0.899705,262.0,18.2,6.8,1391.2090927811307,1435.3752905818478
42,1.0,1401.177231402118,1381.5950236116419,0,1.0,1.0,0.7986837999999999,1.3395554,11.6,14.0,3.2,2.8,0.2,0.2,8.4,8.4,0.5305327579379082,0.8038064913824201,1.7958115506917238,2.6677821163088082,0.7823412477970123,1.808537708222866,1.0378436000000002,152.0,17.6,6.4,1.81458,2.0,0.7986837999999998,265.4,16.8,5.4,1400.7563611553028,1416.5669854735202
43,1.0,1380.0511810266692,1776.5873229241408,1,1.2,1.4,0.9069472000000001,1.541916,11.0,15.2,3.2,2.4,0.2,0.2,8.0,9.8,0.4864314340054989,1.0352966379374267,1.679052260890603,3.6281853396445514,0.7866920731961727,2.3678744874894617,1.2402042000000002,172.8,17.2,11.0,1.9017799999999998,2.4,0.7560922,251.6,14.0,4.8,1396.7131973886085,1494.0253210646508
44,3.0,1376.3483615714263,1504.272394859938,0,1.8,1.6,1.0892932,1.640184,11.4,16.6,3.0,3.0,0.2,0.2,8.6,12.0,0.6095457643270492,0.9824825592339039,1.9217308711260557,3.0608981678262355,0.9651067927479744,1.8055557247251273,1.1876166000000001,178.2,20.8,11.8,1.81084,1.8,0.7875826,250.8,13.0,3.6,1392.0557401534836,1501.3037936680932
45,1.0,1403.3965987511626,1434.6226816849367,1,1.4,2.0,0.9586852,1.7525399999999998,9.8,14.4,3.2,3.2,0.2,0.2,7.2,10.0,0.41757324151694775,0.9295975206419825,1.2830358557403088,4.506097776256501,0.6903893169015646,3.040227746590972,1.1491186,197.4,21.8,12.6,2.02008,2.4,0.5061194,245.8,11.0,2.6,1396.0321888442118,1510.188726905403
46,1.0,1385.189292243116,1414.6050401778305,0,1.4,2.0,1.0279578,1.591296,10.0,12.0,2.6,3.2,0.0,0.2,6.8,8.2,0.4508582904934883,0.8193643121048808,1.5160016272217036,3.972616788558662,0.8376728760078549,2.5987273912876843,0.9878750000000002,192.4,17.6,12.4,1.8722999999999999,2.4,0.5753919999999999,223.6,12.4,3.2,1389.2325329988985,1502.3364926516974
52,1.0,1385.4305398660606,1819.2639371729301,0,0.6,1.8,0.57016146,1.5143492,6.6,16.2,1.8,2.8,0.4,0.0,5.0,11.8,0.2716717429459095,1.1235320447012782,1.2445810679346323,5.723271417059005,0.7009012624621391,3.960981461778283,1.5143492000000003,226.4,21.0,8.2,1.9153200000000001,2.4,0.4193060599999999,271.2,13.8,2.2,1391.6469771886523,1535.0395295831295
53,0.0,1380.1074276628342,1447.1237018791833,1,0.6,1.6,0.7073308,1.6992952000000003,8.6,16.0,1.8,2.6,0.2,0.0,6.2,11.6,0.3824608776718378,1.2363314356654882,1.5961233973503113,6.7655044483020905,0.8197276428341865,4.874131988734007,1.6992952000000003,212.6,20.0,6.8,1.9218199999999999,2.4,0.5564753999999998,259.2,12.6,2.2,1384.4202318399375,1508.4490530389085
54,2.0,1363.9180520676057,1473.2069440211435,0,1.0,1.8,0.7936234000000001,1.9649747999999998,8.2,17.6,1.6,2.6,0.2,0.0,6.4,13.2,0.4892133057117462,1.4701577115803957,1.9162110578268767,7.913640189357102,0.9196278885006904,5.627218275517225,1.9649748000000002,211.2,19.4,8.4,2.0300000000000002,2.0,0.642768,266.4,12.8,2.0,1377.3188829553224,1510.7424571591591
55,2.0,1370.0096247083718,1423.8466428319227,1,1.2,1.4,0.7817222,1.8033166,7.4,17.0,1.8,3.2,0.2,0.0,5.6,13.4,0.5005266904830933,1.4587753269821406,1.6787045269273222,7.743669435754418,0.8508166333660483,5.5294832805171605,1.8033166,204.0,18.4,8.2,1.8708600000000004,1.4,0.6308668,256.0,13.6,2.0,1374.7260144787197,1474.991503423637
56,0.0,1404.6214338357831,1597.506660883833,0,1.0,1.6,0.5525314,1.9115398,7.4,15.2,1.8,2.8,0.0,0.0,6.0,12.2,0.5048481123521924,1.563168509118259,1.5721399451605975,8.246274702623486,0.8429902201518417,5.753992328606546,1.9115398,217.8,20.0,8.2,2.2044,2.0,0.5525314,259.4,14.2,2.8,1380.817415628131,1552.1895773578026
57,0.0,1394.7091083438104,1572.863204403407,1,0.8,1.2,0.5944416,1.294084,8.0,13.2,2.2,3.2,0.0,0.0,5.8,10.0,0.5040437689051032,0.909163649007678,1.6566097146831453,4.724198680184782,0.9060100434347987,3.015890160948038,1.2940840000000002,205.0,19.4,6.0,1.90026,2.0,0.5944415999999999,255.8,16.4,3.6,1382.6731293236812,1502.909430803898
58,1.0,1378.8720973242887,1434.5094983925783,1,1.0,1.2,0.8927251999999999,0.9303464,9.0,12.2,1.8,4.0,0.0,0.0,6.8,9.4,0.6520679973065853,0.7021076897159219,2.118829248007387,3.113010144047439,1.164305316284299,1.7491200998425485,0.9303464000000001,204.2,20.4,5.6,1.4305400000000001,1.6,0.7418712,229.4,18.0,4.8,1382.426063255972,1500.386590106577
59,2.0,1382.047744488204,1174.9217960606247,0,1.0,0.8,1.0041442,0.8003783999999999,9.4,12.4,2.4,4.0,0.0,0.0,6.4,8.8,0.6730332847684621,0.5086951678618788,2.4020438629202543,2.105820464529097,1.3282420851290226,1.0871015958487988,0.6410890000000002,191.6,21.0,4.4,1.24972,1.4,0.8532902,229.8,18.4,4.8,1386.0520017400918,1440.7295605144732
60,0.0,1396.018477367964,1373.7881231804745,0,0.6,0.8,0.8683477999999999,0.8601912,9.0,13.0,2.8,4.4,0.0,0.0,6.2,8.8,0.5423607379198074,0.5149423658847809,2.0504278890788554,2.0432678116485476,1.02044936735183,1.0359160846099258,0.7009018000000002,173.0,22.2,4.0,1.45228,1.6,0.7174938,249.2,18.6,4.0,1391.25377227201,1430.7178565841837
61,1.0,1394.7405387835192,1530.2147927579613,1,0.8,1.0,1.1905606,1.1256672,9.2,16.0,3.0,4.2,0.4,0.0,6.0,10.2,0.5628644756972789,0.5713652610778809,2.2405202470719816,2.2182507699355485,1.1812655633315443,1.1371054397895932,0.8155238,144.4,20.8,5.8,1.3618999999999999,1.6,0.7379973999999999,252.0,18.0,3.4,1389.2775932615573,1417.2594829590093
62,0.0,1382.1664716712687,1465.2805003481835,1,0.8,0.8,1.1446862,1.267213,8.8,16.8,2.4,4.0,0.4,0.0,6.2,11.4,0.5533019699156284,0.7683502402156591,2.1021182548254727,2.6810020964592693,1.0635307559743523,1.294780533015728,0.9570696000000002,162.6,21.2,7.6,1.54486,1.6,0.6921229999999998,254.6,16.6,2.8,1386.7690659270488,1395.7429421479642
63,0.0,1366.8616756449671,1489.8114109518613,0,0.6,0.8,0.7439834000000001,1.4952666000000001,6.8,18.4,3.2,3.8,0.6,0.2,4.6,13.2,0.3123112877830863,0.9828538686037064,1.3135132983326911,3.8057437064126134,0.6947947382926941,2.043989978544414,1.1851232,146.8,19.2,12.2,1.9939399999999998,2.0,0.44227419999999995,281.4,16.0,1.8,1384.3669815911846,1406.803324659821
64,0.0,1353.6578769699508,1299.998381087296,0,0.2,1.6,0.6828470000000001,1.7648125999999997,6.4,18.6,3.0,3.8,0.8,0.2,4.2,14.0,0.17490781601518393,1.216061269119382,0.6154488150030375,5.407674132846296,0.36076395958662033,3.443312576971948,1.4631046,165.0,19.8,13.2,2.2218400000000003,2.6,0.22706619999999994,277.6,15.0,2.2,1378.689008087534,1431.8186416651554
65,1.0,1310.4118248530772,1595.999798037141,0,0.4,2.6,0.7674718,2.4078159999999995,7.6,21.2,2.4,2.6,0.8,0.2,4.2,15.6,0.23587768916040658,1.669351603463292,0.8614240698516369,7.793645247630775,0.4429257556796074,4.894562022946775,2.106108,164.2,19.0,15.4,2.44136,3.0,0.3116909999999999,270.0,16.6,3.6,1361.5676775845566,1476.2609766364887
66,0.0,1298.2674721860642,1440.2498778723166,1,0.2,2.4,0.44958019999999993,2.3107999999999995,7.8,19.8,2.2,2.2,0.4,0.2,4.2,15.8,0.19886358454823494,1.7842098511755466,0.6639870714396239,8.344520786218345,0.2898252420127392,5.30352414380759,2.159946,197.2,19.8,14.2,2.6002,3.0,0.2955085999999999,284.6,18.2,3.8,1342.2730642650654,1458.26799365936
67,1.0,1286.0141279982645,1418.7978509059396,1,0.4,2.4,0.5771982,2.326132,8.6,18.2,2.8,2.2,0.4,0.2,5.2,14.2,0.32497729621827603,1.649879115447402,1.2448658462613822,7.954072795622051,0.6180563803762198,5.142118207924068,2.0244242,203.2,20.4,12.8,2.50176,2.6,0.4231265999999999,281.2,20.8,4.2,1323.0425955304647,1448.9714637709108
68,0.0,1500.0,1500.0,0,0.4,2.6,0.5470193,2.437264,7.8,18.0,2.2,2.0,0.4,0.0,5.2,13.2,0.3117258528247476,1.657289251498878,1.2235449345782399,7.7477943655103445,0.6093031233176589,4.91250385902822,2.1355562000000003,208.0,22.6,9.0,2.57602,2.6,0.3929476999999999,268.4,21.2,3.6,1349.6702604014713,1451.0091815805386
69,1.0,1470.0,1462.5,0,0.6,1.8,0.3885803,1.9494102000000002,7.2,17.0,1.8,1.6,0.2,0.0,5.6,12.6,0.32000762335956096,1.3751583160832523,1.3164573630318046,5.821997125446797,0.6915554454550147,3.2915076058357955,1.7985564,189.2,22.8,8.2,2.32678,2.0,0.3885802999999999,247.0,22.0,3.4,1372.9386850074811,1483.5095053630796
70,0.0,1489.568332343506,1517.5,1,0.4,1.2,0.5302547000000001,1.4083662000000001,7.8,14.6,1.6,1.6,0.2,0.0,5.8,11.4,0.25358608793467285,1.0591528924182056,1.6433100229129196,3.4733725633472203,0.969273148663342,1.8814169969409704,1.2575124,183.4,25.0,5.4,1.9884799999999998,2.0,0.5302546999999999,224.8,21.8,2.2,1408.769986505567,1467.8095457556512
71,0.0,1461.9749638174833,1588.0631584037153,0,0.4,1.2,0.50432886,1.3767102000000002,6.8,14.8,1.2,1.2,0.2,0.0,5.6,11.0,0.24636813458055257,0.8658196756616234,1.5699015440419317,2.4904322270303965,0.8981935421004892,1.2402240972965957,1.0750024000000002,167.0,26.4,6.6,2.0092399999999997,2.0,0.50432886,235.2,20.4,2.0,1441.5114848318508,1497.3722018619308
72,1.0,1448.9304745768084,1537.1047519814708,1,0.4,1.4,0.40006965999999994,1.5617162,6.2,15.0,0.6,1.2,0.2,0.0,4.8,11.8,0.09143552221357823,1.2079941546544433,1.0666302571073174,3.7735002165660263,0.6566192530095577,2.2412313668057324,1.4108622000000004,173.4,27.8,8.2,2.1834200000000004,2.4,0.40006965999999994,234.0,18.8,1.4,1474.0947541475596,1521.0335820770372
73,1.0,1433.89995892468,1493.939949409922,0,0.6,1.2,0.51063236,1.5020602,7.0,14.6,1.2,0.8,0.0,0.0,5.4,11.0,0.20199822187423705,1.1842582732439042,1.4809688970446586,3.7384419267997147,0.9518152082338929,2.208511842601001,1.3512062000000002,176.8,29.2,9.2,2.0767800000000003,2.0,0.5106323599999999,232.6,19.8,2.2,1460.8747459324954,1519.8215719590216
74,2.0,1437.3221407531444,1558.8713378871785,0,0.8,1.2,0.5295675599999999,1.842898,7.4,16.4,1.8,1.0,0.0,0.0,6.0,12.2,0.1962565341964364,1.4992013741284609,1.3841006796807052,4.9323821479454635,0.876877179555595,3.0276387708261607,1.6920440000000003,174.8,29.0,11.4,2.34098,2.0,0.5295675599999999,263.2,19.0,1.8,1454.3391740831244,1539.0958395364573
