,goals,elo,elo_vs,location,goals_las5,goals_vs_las5,xG_las5,xG_vs_las5,shots_las5,shots_vs_las5,yellow_card_las5,yellow_card_vs_las5,red_card_las5,red_card_vs_las5,key_passes_las5,key_passes_vs_las5,xA_las5,xA_vs_las5,xGChain_las5,xGChain_vs_las5,xGBuildup_las5,xGBuildup_vs_las5,npxG_vs_las5,ppda_att_vs_las5,ppda_def_vs_las5,deep_vs_las5,xpts_vs_las5,pts_vs_las5,npxG_las5,ppda_att_las5,ppda_def_las5,deep_las5,elo_las5,elo_vs_las5
24,1.0,1606.3876249012117,1552.6422818490867,0,1.8,1.0,1.450844,1.319656,14.6,12.8,1.4,2.4,0.0,0.2,10.0,9.0,0.8272881872951985,0.967224689014256,3.026163658499718,4.174552811123431,1.4788352098315953,2.510830809921026,1.3196559999999997,249.0,28.6,5.4,1.23922,0.4,1.29248,223.0,31.8,6.8,1589.399144818947,1517.495296449972
25,0.0,1623.3182382214789,1604.8399241093373,0,1.6,1.6,1.3376036,1.6021459999999998,14.0,13.2,1.8,2.6,0.0,0.0,9.4,9.0,0.7289465753361583,0.7984710985794663,2.756872176937759,3.869588199071586,1.324079348705709,2.0719379454851152,1.449894,265.4,24.4,5.2,1.3462,0.8,1.1792396,227.6,30.0,6.8,1598.9713086402062,1539.173059769113
26,2.0,1583.8256842270166,1500.5705262746262,1,1.4,1.4,1.2742136,1.4546196,14.2,12.0,2.2,3.2,0.0,0.0,9.4,8.0,0.7476495768874883,0.6579944157972932,2.5962713064625857,3.3455309273675082,1.4277649806812405,1.6257564175873995,1.3023676,263.6,23.4,5.0,1.27516,0.8,1.1158496,250.6,29.0,5.4,1601.5391947024273,1547.2844115100047
27,2.0,1599.1228046672613,1447.214090600356,0,1.2,1.6,1.1672596,1.7153136,13.8,11.2,2.4,3.2,0.0,0.0,9.2,7.8,0.7399730660021305,0.9193791432306171,2.3733173849061133,3.3682365788146855,1.4046875515952706,1.541242514923215,1.5630616,265.6,21.0,5.2,1.55726,1.0,1.0088956,238.6,25.8,7.2,1604.4023782907384,1532.529468305002
28,2.0,1590.8959155061648,1589.9427688980218,1,1.4,1.4,1.2327436,1.5341265999999998,13.2,10.8,2.6,2.6,0.0,0.0,9.8,8.0,1.013353544101119,0.8963884353637696,3.7045654794201255,2.940814695507288,2.3075437439605593,1.3235703440383078,1.3818746,259.6,22.0,5.4,1.4175400000000002,0.8,1.2327435999999998,231.2,26.0,9.4,1600.7100535046268,1539.0419183462855
29,0.0,1620.8136144187083,1514.759133988603,0,1.2,2.0,1.1459890000000001,1.6502506000000001,12.8,10.6,2.4,2.6,0.0,0.0,9.2,7.6,0.9801872495561839,1.0061866849660874,3.384516100026667,3.5558441512286665,2.1132871052250266,1.716908079572022,1.4979985999999998,282.8,24.8,3.6,1.63976,1.4,1.145989,191.4,27.6,9.2,1603.595251408126,1531.4652887741888
30,0.0,1575.4497962172825,1420.1984294478284,1,1.2,1.4,1.4375377999999999,1.2236706000000002,15.8,9.8,2.2,3.2,0.0,0.0,11.8,7.2,1.083334279526025,0.9807759715244174,3.993930782750249,3.222271041572094,2.573567057028413,1.7266184190288185,1.2236706,263.8,25.2,4.0,1.2981399999999998,1.4,1.2852773999999998,174.8,28.2,11.2,1594.0215630072867,1494.5369898418871
31,1.0,1547.0636815892178,1308.217491506768,1,1.0,1.8,1.5095478000000002,1.497589,15.8,11.6,1.8,3.4,0.0,0.0,12.0,8.8,1.1583108215592801,1.1612124076113104,4.2378191843628885,3.3559747714549304,2.638410080969334,1.4611127579584717,1.497589,266.4,24.0,4.0,1.45714,2.0,1.3572874000000001,156.4,28.2,14.0,1586.669162479727,1456.0663828883155
32,2.0,1499.1733526150208,1709.5547868959266,0,1.0,2.0,1.6715858000000001,1.425791,15.8,11.8,1.8,3.0,0.0,0.0,11.4,9.4,0.9982065091840923,1.125332549214363,3.9316462144255637,3.7838240999728443,2.495403654128313,1.854740304686129,1.4257910000000003,247.4,25.8,3.8,1.26994,2.4,1.214806,184.4,29.0,12.4,1566.6792720692788,1508.5345221474295
33,3.0,1489.9927602982277,1356.2078539559488,1,1.2,2.2,1.8813178000000002,1.505208,16.6,12.6,1.6,3.0,0.0,0.0,11.8,9.8,0.8828361782245338,1.1841347873210908,3.585866355150938,4.189679389074445,2.1713233925402164,2.2706936955451966,1.505208,253.4,27.4,4.6,1.2499,2.4,1.2722779999999998,198.2,26.6,9.4,1546.4986410276913,1461.787539159015
