,elo_h,goals_last5_h,xG_last5_h,shots_last5_h,yellow_card_last5_h,red_card_last5_h,key_passes_last5_h,xA_last5_h,xGChain_last5_h,xGBuildup_last5_h,npxG_last5_h,ppda_att_last5_h,ppda_def_last5_h,deep_last5_h,xpts_last5_h,pts_last5_h,elo_last5_h,elo_a,goals_last5_a,xG_last5_a,shots_last5_a,yellow_card_last5_a,red_card_last5_a,key_passes_last5_a,xA_last5_a,xGChain_last5_a,xGBuildup_last5_a,npxG_last5_a,ppda_att_last5_a,ppda_def_last5_a,deep_last5_a,xpts_last5_a,pts_last5_a,elo_last5_a,goals
9843,1868.1190816153826,2.2,1.3997854,12.6,1.6,0.0,9.6,0.9770181838423013,5.09321109354496,3.419784326851368,1.0952826,245.4,22.4,5.6,1.7650999999999997,2.2,1880.1207711911586,1799.3695894841815,1.6,2.072902,18.8,1.6,0.0,15.8,1.6581634320318699,7.018799842521548,4.087790711969137,1.9184480000000002,187.6,19.6,11.2,1.8317000000000003,2.2,1808.2795080568242,-1.0
9844,1874.5835278796133,2.0,2.0622394,20.6,2.4,0.2,14.6,1.2656110592186451,5.122593632340431,2.7883185144513845,2.0622394,195.2,22.8,10.4,2.2892200000000003,3.0,1864.9892379593093,1758.6874268508725,2.0,1.93766,21.2,2.0,0.0,16.8,1.5236901625990869,7.527683757431805,4.6820474429056045,1.93766,311.2,30.0,9.6,2.3025999999999995,2.4,1757.5597139830545,2.0
9845,1748.2617192939827,1.4,1.946537,18.4,2.2,0.2,14.8,1.5509151612408458,7.772733736038208,5.555244732648134,1.794279,226.2,22.4,11.2,2.15876,1.8,1750.548744633002,1911.3264016673515,2.4,1.6451439999999997,14.6,2.4,0.0,11.4,1.148820186033845,4.172274285554886,2.880488443002105,1.4928912,211.6,21.8,8.8,1.7632800000000004,2.6,1911.127641448845,-1.0
9846,1723.9339414238593,0.6,1.1248102,12.6,2.4,0.2,10.2,1.0627244237810374,4.651651621609926,3.284865453466773,1.1248102,205.2,24.8,8.6,1.49728,1.0,1786.5940939242587,1702.0627406809438,2.8,1.811628,20.4,2.2,0.0,16.8,1.3846458282321692,6.412897911667824,4.234603505954146,1.5071080000000001,246.0,23.4,10.0,1.6919,2.4,1700.31483915759,1.0
9847,1492.4066862082889,0.8,1.390425,18.6,1.6,0.0,14.6,1.2098228130489588,4.955158019810915,3.0918567433953283,1.390425,248.8,19.0,7.4,1.43978,0.6,1553.2885451737689,1776.1132653398577,2.6,1.8115649999999999,15.4,1.6,0.0,11.0,1.0753208573907613,4.916745581477881,3.0831117928028107,1.5070451999999999,218.4,24.8,5.8,1.89148,3.0,1747.5681940367735,1.0
9848,1569.4221586770698,2.4,1.6115888000000003,15.0,1.8,0.0,11.4,1.1792250636965036,4.617140041664243,2.788788407295942,1.3070708,261.2,22.4,6.2,1.5321000000000002,1.8,1604.7560840608512,1706.0842981132746,1.8,1.7638383999999998,13.4,2.6,0.0,11.0,1.5778730740770697,7.491252722777427,5.021758501790464,1.7638383999999998,276.8,21.0,9.8,1.89738,2.4,1666.6631522147964,1.0
9849,1827.5585188143557,2.0,1.5923048,15.4,2.4,0.0,12.0,1.145879104360938,3.966297076269984,2.1647753121331332,1.4400448,223.6,25.6,6.2,2.0541799999999997,2.4,1822.650474112901,1231.3131909657561,0.4,1.1774922,13.8,1.8,0.2,10.8,0.7298711778596043,2.51748189330101,1.4830201171338557,1.0252317999999998,266.0,25.2,6.6,0.8977200000000002,0.2,1275.0066772896098,3.0
9850,1207.723192262242,0.8,0.9841742,10.0,2.8,0.0,6.8,0.6764563377946615,3.605721139907837,2.3996659073978663,0.9841742,245.4,24.6,8.0,0.7512600000000003,0.4,1200.9566149425887,1836.3688162815974,1.4,1.7570540000000001,12.6,1.4,0.0,9.2,1.3487170137465,6.0725946392863985,4.145312892273068,1.604794,261.2,21.6,9.0,2.0525200000000003,2.2,1833.072467503844,-2.0
9851,1455.6346826144459,0.6,0.792183,12.0,3.2,0.0,9.0,0.5551135066896677,1.7323525177314878,0.8685687344521285,0.792183,276.8,25.2,4.0,0.8832799999999998,1.0,1448.781070147004,1676.103914810492,1.6,1.6650490000000002,15.4,2.2,0.2,12.0,1.3248335480690003,6.123841221258044,3.999075234308839,1.512791,207.8,31.6,7.4,2.17058,2.4,1649.0157979418595,-3.0
9852,1836.8165215692802,2.0,1.4720624,13.4,2.0,0.2,9.4,1.1690047185868024,4.510417570173741,2.776324807479978,1.4720624,231.4,30.0,6.6,1.7961199999999997,3.0,1819.0236283424588,1313.4512915862006,0.4,0.7935224000000001,9.6,2.0,0.0,7.2,0.6942491918802262,2.7482610784471033,1.8105288285762071,0.7935224000000001,379.4,25.6,4.2,0.91134,0.2,1350.138260526221,4.0
9853,1409.70388577749,0.6,0.6279494,7.6,2.0,0.2,5.8,0.5008454021066427,1.6324252858757973,0.8778897307813167,0.6279494,290.8,25.8,2.8,0.5796,1.0,1401.777675558916,1827.3780272313,2.2,1.9897936,18.4,1.6,0.0,13.2,1.3730613481253386,6.216937310621143,3.5202144417911767,1.9897936,246.0,28.2,6.2,2.3522999999999996,2.4,1837.4153599337358,-1.0
9854,1834.1545386250323,1.8,1.582268,13.0,2.4,0.0,10.2,1.3129574283957481,8.06521443426609,5.7876869440078735,1.582268,214.8,23.8,7.8,2.29634,3.0,1814.5649093717846,1285.76069643423,0.8,0.65493,9.4,3.2,0.4,6.2,0.43335217535495757,1.6486889492720365,0.8358680767938494,0.65493,281.4,19.6,2.2,0.7380799999999998,0.8,1272.537661323346,3.0
9855,1583.7857891151298,1.4,1.4008180000000001,13.4,2.6,0.0,10.0,0.9834517572075129,4.538605724461377,3.172303555160761,1.2485586000000002,186.0,20.2,7.6,1.2078,1.4,1600.0290927325393,1695.5319588138266,1.6,1.5484870000000002,15.4,1.4,0.2,12.0,0.8823893260210752,4.779747654870152,3.411406775563955,1.091708,217.4,19.6,6.4,1.34882,1.6,1728.6336933571838,1.0
9856,1759.31093318123,3.0,1.747756,13.4,2.2,0.0,10.4,1.4127562236040832,4.24346059076488,2.4574867717921736,1.595504,257.0,27.2,7.2,2.21656,3.0,1733.6081837855672,1593.6297781597875,1.4,1.6764216,10.6,2.2,0.2,7.6,1.1579005613923072,3.830064930766821,2.0926453310996296,1.6764216,238.8,21.6,5.0,1.6352800000000003,1.4,1608.1169718446577,1.0
